conference,school,coach,start,end,years,games,wins,losses,ties,win_pct,bowl_games,bowl_wins,bowl_losses,bowl_ties,bowl_pct,reason
sec,alabama,Mike DuBose,1997,2000,4,47,24,23,0,0.511,2,0,2,0,0,fired
sec,alabama,Dennis Franchione,2001,2002,2,25,17,8,0,0.68,1,1,0,0,1,resigned
sec,alabama,Mike Shula,2003,2006,4,49,26,23,0,0.531,2,1,1,0,0.5,fired
sec,alabama,Joe Kines,2006,2006,1,1,0,1,0,0,1,0,1,0,0,interim only
sec,alabama,Nick Saban,2007,2016,10,131,113,18,0,0.863,10,7,3,0,0.7,current
pac,arizona,Dick Tomey,1987,2000,14,163,95,64,4,0.595,7,4,3,0,0.571,resigned
pac,arizona,John Mackovic,2001,2003,3,28,10,18,0,0.357,0,0,0,0,,fired
pac,arizona,Mike Hankwitz,2003,2003,1,7,1,6,0,0.143,0,0,0,0,,interim only
pac,arizona,Mike Stoops,2004,2011,8,91,41,50,0,0.451,3,1,2,0,0.333,fired
pac,arizona,Tim Kish,2011,2011,1,6,3,3,0,0.5,0,0,0,0,,interim only
pac,arizona,Rich Rodriguez,2012,2016,5,61,35,26,0,0.574,4,3,1,0,0.75,current
pac,arizona state,Bruce Snyder,1992,2000,9,103,58,45,0,0.563,4,1,3,0,0.25,fired
pac,arizona state,Dirk Koetter,2001,2006,6,74,40,34,0,0.541,4,2,2,0,0.5,fired
pac,arizona state,Dennis Erickson,2007,2011,5,62,31,31,0,0.5,2,0,2,0,0,fired
pac,arizona state,Todd Graham,2012,2016,5,62,39,23,0,0.629,4,2,2,0,0.5,current
sec,arkansas,Houston Nutt,1998,2007,10,123,75,48,0,0.61,7,2,5,0,0.286,resigned
sec,arkansas,Reggie Herring,2007,2007,1,1,0,1,0,0,1,0,1,0,0,interim only
sec,arkansas,Bobby Petrino,2008,2011,4,51,34,17,0,0.667,3,2,1,0,0.667,fired with cause
sec,arkansas,John Smith,2012,2012,1,12,4,8,0,0.333,0,0,0,0,,interim only
sec,arkansas,Bret Bielema,2013,2016,4,46,23,23,0,0.5,2,2,0,0,1,current
sec,auburn,Tommy Tuberville,1999,2008,10,125,85,40,0,0.68,8,5,3,0,0.625,resigned
sec,auburn,Gene Chizik,2009,2012,4,52,33,19,0,0.635,3,3,0,0,1,fired
sec,auburn,Gus Malzahn,2013,2016,4,48,33,15,0,0.688,3,1,2,0,0.333,current
big_xii,baylor,Kevin Steele,1999,2002,4,45,9,36,0,0.2,0,0,0,0,,fired
big_xii,baylor,Guy Morriss,2003,2007,5,58,18,40,0,0.31,0,0,0,0,,fired
big_xii,baylor,Art Briles,2008,2015,8,102,65,37,0,0.637,6,3,3,0,0.5,fired with cause
big_xii,baylor,Jim Grobe,2016,2016,1,7,6,1,0,0.857,0,0,0,0,,current
acc,boston college,Tom O'Brien,1997,2006,10,120,75,45,0,0.625,7,6,1,0,0.857,resigned
acc,boston college,Jeff Jagodzinski,2007,2008,2,28,20,8,0,0.714,2,1,1,0,0.5,fired
acc,boston college,Frank Spaziani,2009,2012,5,51,22,29,0,0.431,3,1,2,0,0.333,fired
acc,boston college,Steve Addazio,2013,2016,4,46,21,25,0,0.457,2,0,2,0,0,current
pac,california,Tom Holmoe,1997,2001,5,55,16,39,0,0.291,0,0,0,0,,resigned
pac,california,Jeff Tedford,2002,2012,11,139,82,57,0,0.59,8,5,3,0,0.625,fired
pac,california,Sonny Dykes,2013,2016,4,45,18,27,0,0.4,1,1,0,0,1,current
pac,colorado,Gary Barnett,1999,2005,7,87,49,38,0,0.563,4,2,2,0,0.5,fired
pac,colorado,Mike Hankwitz,2005,2005,1,1,0,1,0,0,1,0,1,0,0,interim only
pac,colorado,Dan Hawkins,2006,2010,5,58,19,39,0,0.328,1,0,1,0,0,fired
pac,colorado,Brian Cabral,2010,2010,1,3,2,1,0,0.667,0,0,0,0,,interim only
pac,colorado,Jon Embree,2011,2012,2,25,4,21,0,0.16,0,0,0,0,,fired
pac,colorado,Mike MacIntyre,2013,2016,4,45,16,29,0,0.356,0,0,0,0,,current
acc,duke,Carl Franks,1999,2003,5,57,9,48,0,0.158,0,0,0,0,,fired
acc,duke,Ted Roof,2004,2007,4,46,4,42,0,0.087,0,0,0,0,,fired
acc,duke,David Cutcliffe,2008,2016,9,109,51,58,0,0.468,4,1,3,0,0.25,current
sec,florida,Steve Spurrier,1990,2001,12,150,122,27,1,0.817,11,6,5,0,0.545,resigned
sec,florida,Ron Zook,2002,2004,3,37,23,14,0,0.622,2,0,2,0,0,resigned
sec,florida,Charlie Strong,2004,2004,1,1,0,1,0,0,1,0,1,0,0,interim only
sec,florida,Urban Meyer,2005,2010,6,80,65,15,0,0.813,6,5,1,0,0.833,resigned
sec,florida,Will Muschamp,2011,2014,4,49,28,21,0,0.571,2,2,1,0,0.667,fired
sec,florida,D.J. Durkin,2014,2014,1,1,1,0,0,1,1,1,0,0,1,interim only
sec,florida,Jim McElwain,2015,2016,2,21,16,5,0,0.762,1,0,1,0,0,current
sec,georgia,Jim Donnan,1996,2000,5,59,40,19,0,0.678,4,4,0,0,1,fired
sec,georgia,Mark Richt,2001,2015,15,196,145,51,0,0.74,14,9,5,0,0.643,fired
sec,georgia,Bryan McClendon,2015,2015,1,1,1,0,0,1,1,1,0,0,1,interim only
sec,georgia,Kirby Smart,2016,2016,1,8,4,4,0,0.5,0,0,0,0,,current
acc,georgia tech,George O'Leary,1994,2001,8,85,52,33,0,0.612,4,2,2,0,0.5,resigned
acc,georgia tech,Mac McWhorter,2001,2001,1,1,1,0,0,1,1,1,0,0,1,interim only
acc,georgia tech,Chan Gailey,2002,2007,6,76,44,32,0,0.579,5,2,3,0,0.4,fired
acc,georgia tech,Jon Tenuta,2007,2007,1,1,0,1,0,0,1,0,1,0,0,interim only
acc,georgia tech,Paul Johnson,2008,2016,9,114,67,47,0,0.588,7,2,5,0,0.286,current
big_ten,illinois,Ron Turner,1997,2004,8,92,35,57,0,0.38,2,1,1,0,0.5,fired
big_ten,illinois,Ron Zook,2005,2011,7,85,34,51,0,0.4,2,1,1,0,0.5,fired
big_ten,illinois,Vic Koenning,2011,2011,1,1,1,0,0,1,1,1,0,0,1,interim only
big_ten,illinois,Tim Beckman,2012,2014,3,37,12,25,0,0.324,1,0,1,0,0,fired with cause
big_ten,illinois,Bill Cubit,2015,2015,1,12,5,7,0,0.417,0,0,0,0,,fired
big_ten,illinois,Lovie Smith,2016,2016,1,8,2,6,0,0.25,0,0,0,0,,current
big_ten,indiana,Cam Cameron,1997,2001,5,55,18,37,0,0.327,0,0,0,0,,fired
big_ten,indiana,Gerry DiNardo,2002,2004,3,35,8,27,0,0.229,0,0,0,0,,fired
big_ten,indiana,Terry Hoeppner,2005,2006,2,23,9,14,0,0.391,0,0,0,0,,died
big_ten,indiana,Bill Lynch,2007,2010,4,49,19,30,0,0.388,1,0,1,0,0,fired
big_ten,indiana,Kevin Wilson,2011,2016,6,69,24,45,0,0.348,1,0,1,0,0,current
big_ten,iowa,Kirk Ferentz,1999,2016,18,222,132,90,0,0.595,13,6,7,0,0.462,current
big_xii,iowa state,Dan McCarney,1995,2006,12,141,56,85,0,0.397,5,2,3,0,0.4,resigned
big_xii,iowa state,Gene Chizik,2007,2008,2,24,5,19,0,0.208,0,0,0,0,,resigned
big_xii,iowa state,Paul Rhoads,2009,2015,7,87,32,55,0,0.368,3,1,2,0,0.333,fired
big_xii,iowa state,Matt Campbell,2016,2016,1,8,1,7,0,0.125,0,0,0,0,,current
big_xii,kansas,Terry Allen,1997,2001,5,53,20,33,0,0.377,0,0,0,0,,fired
big_xii,kansas,Tom Hayes,2001,2001,1,3,1,2,0,0.333,0,0,0,0,,interim only
big_xii,kansas,Mark Mangino,2002,2009,8,98,50,48,0,0.51,4,3,1,0,0.75,resigned
