coach.id,name,tenure.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug,tenure.ending,interim.promoted
wilkele01c,Lenny Wilkens,25,ATL,1994,2000,310,232,542,wilkele01c_ATL_1994_2000,mutual consent,
krugelo99c,Lon Kruger,26,ATL,2001,2003,69,122,191,krugelo99c_ATL_2001_2003,fired,
stottte99c,Terry Stotts,27,ATL,2003,2004,52,85,137,stottte99c_ATL_2003_2004,fired,
woodsmi01c,Mike Woodson,28,ATL,2005,2010,206,286,492,woodsmi01c_ATL_2005_2010,fired,
drewla01c,Larry Drew,29,ATL,2011,2013,128,102,230,drewla01c_ATL_2011_2013,fired,
budenmi99c,Mike Budenholzer,30,ATL,2014,2018,213,197,410,budenmi99c_ATL_2014_2018,mutual consent,
piercll01c,Lloyd Pierce,31,ATL,2019,2020,49,100,149,piercll01c_ATL_2019_2020,,
pitinri99c,Rick Pitino,44,BOS,1998,2001,102,146,248,pitinri99c_BOS_1998_2001,resigned,
obrieji99c,Jim O'Brien,45,BOS,2001,2004,139,119,258,obrieji99c_BOS_2001_2004,resigned,
carrojo99c,John Carroll,46,BOS,2004,2004,14,22,36,carrojo99c_BOS_2004_2004,interim only,
riverdo01c,Doc Rivers,47,BOS,2005,2013,416,305,721,riverdo01c_BOS_2005_2013,traded,
stevebr99c,Brad Stevens,48,BOS,2014,2020,313,243,556,stevebr99c_BOS_2014_2020,,
silaspa01c,Paul Silas,80,CHA,1999,2002,161,120,281,silaspa01c_CHA_1999_2002,DISCARD,
bickebe99c,Bernie Bickerstaff,81,CHA,2005,2007,77,169,246,bickebe99c_CHA_2005_2007,resigned,
vincesa01c,Sam Vincent,82,CHA,2008,2008,32,50,82,vincesa01c_CHA_2008_2008,fired,
brownla01c,Larry Brown,83,CHA,2009,2011,88,104,192,brownla01c_CHA_2009_2011,resigned,
silaspa01c,Paul Silas,84,CHA,2011,2012,32,88,120,silaspa01c_CHA_2011_2012,fired,
dunlami99c,Mike Dunlap,85,CHA,2013,2013,21,61,82,dunlami99c_CHA_2013_2013,fired,
cliffst99c,Steve Clifford,86,CHA,2014,2018,196,214,410,cliffst99c_CHA_2014_2018,fired,
borreja99c,James Borrego,87,CHA,2019,2020,62,85,147,borreja99c_CHA_2019_2020,,
floydti99c,Tim Floyd,101,CHI,1999,2002,49,190,239,floydti99c_CHI_1999_2002,resigned,
berrybi99c,Bill Berry,102,CHI,2002,2002,0,2,2,berrybi99c_CHI_2002_2002,interim only,
cartwbi01c,Bill Cartwright,103,CHI,2002,2004,51,100,151,cartwbi01c_CHI_2002_2004,fired,x
myerspe01c,Pete Myers,104,CHI,2004,2004,0,2,2,myerspe01c_CHI_2004_2004,interim only,
skilesc01c,Scott Skiles,105,CHI,2004,2008,165,172,337,skilesc01c_CHI_2004_2008,fired,
myerspe01c,Pete Myers,106,CHI,2008,2008,0,1,1,myerspe01c_CHI_2008_2008,interim only,
boylaji99c,Jim Boylan,107,CHI,2008,2008,24,32,56,boylaji99c_CHI_2008_2008,interim only,
delnevi01c,Vinny Del Negro,108,CHI,2009,2010,82,82,164,delnevi01c_CHI_2009_2010,fired,
thiboto99c,Tom Thibodeau,109,CHI,2011,2015,255,139,394,thiboto99c_CHI_2011_2015,fired,
hoibefr99c,Fred Hoiberg,110,CHI,2016,2019,115,155,270,hoibefr99c_CHI_2016_2019,fired,
boyleji02c,Jim Boylen,111,CHI,2019,2020,39,84,123,boyleji02c_CHI_2019_2020,,x
wittmra01c,Randy Wittman,124,CLE,2000,2001,62,102,164,wittmra01c_CLE_2000_2001,fired,
lucasjo01c,John Lucas,125,CLE,2002,2003,37,87,124,lucasjo01c_CLE_2002_2003,fired,
smartke01c,Keith Smart,126,CLE,2003,2003,9,31,40,smartke01c_CLE_2003_2003,interim only,
silaspa01c,Paul Silas,127,CLE,2004,2005,69,77,146,silaspa01c_CLE_2004_2005,fired,
malonbr99c,Brendan Malone,128,CLE,2005,2005,8,10,18,malonbr99c_CLE_2005_2005,interim only,
brownmi99c,Mike Brown,129,CLE,2006,2010,272,138,410,brownmi99c_CLE_2006_2010,fired,
scottby01c,Byron Scott,130,CLE,2011,2013,64,166,230,scottby01c_CLE_2011_2013,fired,
brownmi99c,Mike Brown,131,CLE,2014,2014,33,49,82,brownmi99c_CLE_2014_2014,fired,
blattda99c,David Blatt,132,CLE,2015,2016,83,40,123,blattda99c_CLE_2015_2016,fired,
luety01c,Tyronn Lue,133,CLE,2016,2019,128,83,211,luety01c_CLE_2016_2019,fired,
drewla01c,Larry Drew,134,CLE,2019,2019,19,57,76,drewla01c_CLE_2019_2019,interim only,
beilejo99c,John Beilein,135,CLE,2020,2020,14,40,54,beilejo99c_CLE_2020_2020,resigned,
bickejb01c,J.B. Bickerstaff,136,CLE,2020,2020,5,6,11,bickejb01c_CLE_2020_2020,,
nelsodo01c,Don Nelson,144,DAL,1998,2005,339,251,590,nelsodo01c_DAL_1998_2005,resigned,
johnsav01c,Avery Johnson,145,DAL,2005,2008,194,70,264,johnsav01c_DAL_2005_2008,fired,
carliri01c,Rick Carlisle,146,DAL,2009,2020,510,443,953,carliri01c_DAL_2009_2020,,
isselda01c,Dan Issel,162,DEN,2000,2002,84,106,190,isselda01c_DEN_2000_2002,resigned,
evansmi01c,Mike Evans,163,DEN,2002,2002,18,38,56,evansmi01c_DEN_2002_2002,interim only,
bzdelje99c,Jeff Bzdelik,164,DEN,2003,2005,73,119,192,bzdelje99c_DEN_2003_2005,fired,
coopemi01c,Michael Cooper,165,DEN,2005,2005,4,10,14,coopemi01c_DEN_2005_2005,interim only,
karlge01c,George Karl,166,DEN,2005,2013,423,257,680,karlge01c_DEN_2005_2013,fired,
shawbr01c,Brian Shaw,167,DEN,2014,2015,56,85,141,shawbr01c_DEN_2014_2015,fired,
huntme01c,Melvin Hunt,168,DEN,2015,2015,10,13,23,huntme01c_DEN_2015_2015,interim only,
malonmi99c,Mike Malone,169,DEN,2016,2020,216,177,393,malonmi99c_DEN_2016_2020,,
gentral99c,Alvin Gentry,194,DET,1998,2000,73,72,145,gentral99c_DET_1998_2000,fired,
irvinge01c,George Irvine,195,DET,2000,2001,46,60,106,irvinge01c_DET_2000_2001,fired,
carliri01c,Rick Carlisle,196,DET,2002,2003,100,64,164,carliri01c_DET_2002_2003,fired,
brownla01c,Larry Brown,197,DET,2004,2005,108,56,164,brownla01c_DET_2004_2005,fired,
saundfl99c,Flip Saunders,198,DET,2006,2008,176,70,246,saundfl99c_DET_2006_2008,fired,
currymi01c,Michael Curry,199,DET,2009,2009,39,43,82,currymi01c_DET_2009_2009,fired,
kuestjo01c,John Kuester,200,DET,2010,2011,57,107,164,kuestjo01c_DET_2010_2011,fired,
frankla99c,Lawrence Frank,201,DET,2012,2013,54,94,148,frankla99c_DET_2012_2013,fired,
cheekma01c,Maurice Cheeks,202,DET,2014,2014,21,29,50,cheekma01c_DET_2014_2014,fired,
loyerjo99c,John Loyer,203,DET,2014,2014,8,24,32,loyerjo99c_DET_2014_2014,interim only,
