tenure.id,coach.id,franchise.id,start.year,end.year,coach.wins,coach.losses,coach.games,tenure.slug
1,pottero99c,ATL,1950,1950,1,6,7,pottero99c_ATL_1950_1950
2,auerbre99c,ATL,1950,1950,28,29,57,auerbre99c_ATL_1950_1950
3,mcmilda99c,ATL,1951,1951,9,14,23,mcmilda99c_ATL_1951_1951
4,loganjo01c,ATL,1951,1951,2,1,3,loganjo01c_ATL_1951_1951
5,todormi01c,ATL,1951,1951,14,28,42,todormi01c_ATL_1951_1951
6,mooredo99c,ATL,1952,1952,17,49,66,mooredo99c_ATL_1952_1952
7,levanan01c,ATL,1953,1954,38,79,117,levanan01c_ATL_1953_1954
8,holzmre01c,ATL,1954,1957,83,120,203,holzmre01c_ATL_1954_1957
9,martisl01c,ATL,1957,1957,5,3,8,martisl01c_ATL_1957_1957
10,hannual01c,ATL,1957,1958,56,47,103,hannual01c_ATL_1957_1958
11,phillan01c,ATL,1959,1959,6,4,10,phillan01c_ATL_1959_1959
12,macaued01c,ATL,1959,1960,89,48,137,macaued01c_ATL_1959_1960
13,seymopa01c,ATL,1961,1962,56,37,93,seymopa01c_ATL_1961_1962
14,levanan01c,ATL,1962,1962,20,40,60,levanan01c_ATL_1962_1962
15,pettibo01c,ATL,1962,1962,4,2,6,pettibo01c_ATL_1962_1962
16,gallaha01c,ATL,1963,1965,111,82,193,gallaha01c_ATL_1963_1965
17,gueriri01c,ATL,1965,1972,327,291,618,gueriri01c_ATL_1965_1972
18,fitzsco99c,ATL,1973,1976,140,180,320,fitzsco99c_ATL_1973_1976
19,tormobu01c,ATL,1976,1976,1,7,8,tormobu01c_ATL_1976_1976
20,brownhu99c,ATL,1977,1981,199,208,407,brownhu99c_ATL_1977_1981
21,fratemi99c,ATL,1981,1981,0,3,3,fratemi99c_ATL_1981_1981
22,loughke01c,ATL,1982,1983,85,79,164,loughke01c_ATL_1982_1983
23,fratemi99c,ATL,1984,1990,324,250,574,fratemi99c_ATL_1984_1990
24,weissbo01c,ATL,1991,1993,124,122,246,weissbo01c_ATL_1991_1993
25,wilkele01c,ATL,1994,2000,310,232,542,wilkele01c_ATL_1994_2000
26,krugelo99c,ATL,2001,2003,69,122,191,krugelo99c_ATL_2001_2003
27,stottte99c,ATL,2003,2004,52,85,137,stottte99c_ATL_2003_2004
28,woodsmi01c,ATL,2005,2010,206,286,492,woodsmi01c_ATL_2005_2010
29,drewla01c,ATL,2011,2013,128,102,230,drewla01c_ATL_2011_2013
30,budenmi99c,ATL,2014,2018,213,197,410,budenmi99c_ATL_2014_2018
31,piercll01c,ATL,2019,2020,49,100,149,piercll01c_ATL_2019_2020
32,russejo99c,BOS,1947,1948,42,66,108,russejo99c_BOS_1947_1948
33,juliaal99c,BOS,1949,1950,47,81,128,juliaal99c_BOS_1949_1950
34,auerbre99c,BOS,1951,1966,795,397,1192,auerbre99c_BOS_1951_1966
35,russebi01c,BOS,1967,1969,162,83,245,russebi01c_BOS_1967_1969
36,heinsto01c,BOS,1970,1978,427,263,690,heinsto01c_BOS_1970_1978
37,sandeto01c,BOS,1978,1979,23,39,62,sandeto01c_BOS_1978_1979
38,cowenda01c,BOS,1979,1979,27,41,68,cowenda01c_BOS_1979_1979
39,fitchbi99c,BOS,1980,1983,242,86,328,fitchbi99c_BOS_1980_1983
40,joneskc01c,BOS,1984,1988,308,102,410,joneskc01c_BOS_1984_1988
41,rodgeji99c,BOS,1989,1990,94,70,164,rodgeji99c_BOS_1989_1990
42,fordch01c,BOS,1991,1995,222,188,410,fordch01c_BOS_1991_1995
43,carrml01c,BOS,1996,1997,48,116,164,carrml01c_BOS_1996_1997
44,pitinri99c,BOS,1998,2001,102,146,248,pitinri99c_BOS_1998_2001
45,obrieji99c,BOS,2001,2004,139,119,258,obrieji99c_BOS_2001_2004
46,carrojo99c,BOS,2004,2004,14,22,36,carrojo99c_BOS_2004_2004
47,riverdo01c,BOS,2005,2013,416,305,721,riverdo01c_BOS_2005_2013
48,stevebr99c,BOS,2014,2020,313,243,556,stevebr99c_BOS_2014_2020
49,zasloma01c,NJN,1968,1969,53,103,156,zasloma01c_NJN_1968_1969
50,laresyo01c,NJN,1970,1970,39,45,84,laresyo01c_NJN_1970_1970
51,carnelo99c,NJN,1971,1973,114,138,252,carnelo99c_NJN_1971_1973
52,loughke01c,NJN,1974,1981,297,318,615,loughke01c_NJN_1974_1981
53,mackibo99c,NJN,1981,1981,12,35,47,mackibo99c_NJN_1981_1981
54,brownla01c,NJN,1982,1983,91,67,158,brownla01c_NJN_1982_1983
55,blairbi99c,NJN,1983,1983,2,4,6,blairbi99c_NJN_1983_1983
56,albecst99c,NJN,1984,1985,87,77,164,albecst99c_NJN_1984_1985
57,wohlda01c,NJN,1986,1988,65,114,179,wohlda01c_NJN_1986_1988
58,mackibo99c,NJN,1988,1988,10,29,39,mackibo99c_NJN_1988_1988
59,reedwi01c,NJN,1988,1989,33,77,110,reedwi01c_NJN_1988_1989
60,fitchbi99c,NJN,1990,1992,83,163,246,fitchbi99c_NJN_1990_1992
61,dalych99c,NJN,1993,1994,88,76,164,dalych99c_NJN_1993_1994
62,beardbu01c,NJN,1995,1996,60,104,164,beardbu01c_NJN_1995_1996
63,calipjo99c,NJN,1997,1999,72,112,184,calipjo99c_NJN_1997_1999
64,caseybo99c,NJN,1999,2000,44,68,112,caseybo99c_NJN_1999_2000
65,scottby01c,NJN,2001,2004,149,139,288,scottby01c_NJN_2001_2004
66,frankla99c,NJN,2004,2010,225,241,466,frankla99c_NJN_2004_2010
67,barrito99c,NJN,2010,2010,0,2,2,barrito99c_NJN_2010_2010
68,vandeki01c,NJN,2010,2010,12,52,64,vandeki01c_NJN_2010_2010
69,johnsav01c,NJN,2011,2013,60,116,176,johnsav01c_NJN_2011_2013
70,carlepj99c,NJN,2013,2013,35,19,54,carlepj99c_NJN_2013_2013
71,kiddja01c,NJN,2014,2014,44,38,82,kiddja01c_NJN_2014_2014
72,hollili01c,NJN,2015,2016,48,71,119,hollili01c_NJN_2015_2016
73,brownto01c,NJN,2016,2016,11,34,45,brownto01c_NJN_2016_2016
74,atkinke01c,NJN,2017,2020,118,190,308,atkinke01c_NJN_2017_2020
75,vaughja01c,NJN,2020,2020,2,0,2,vaughja01c_NJN_2020_2020
76,hartedi99c,CHA,1989,1990,28,94,122,hartedi99c_CHA_1989_1990
77,littlge01c,CHA,1990,1991,37,87,124,littlge01c_CHA_1990_1991
78,bristal01c,CHA,1992,1996,207,203,410,bristal01c_CHA_1992_1996
79,cowenda01c,CHA,1997,1999,109,70,179,cowenda01c_CHA_1997_1999
80,silaspa01c,CHA,1999,2002,161,120,281,silaspa01c_CHA_1999_2002
81,bickebe99c,CHA,2005,2007,77,169,246,bickebe99c_CHA_2005_2007
82,vincesa01c,CHA,2008,2008,32,50,82,vincesa01c_CHA_2008_2008
83,brownla01c,CHA,2009,2011,88,104,192,brownla01c_CHA_2009_2011
84,silaspa01c,CHA,2011,2012,32,88,120,silaspa01c_CHA_2011_2012
85,dunlami99c,CHA,2013,2013,21,61,82,dunlami99c_CHA_2013_2013
86,cliffst99c,CHA,2014,2018,196,214,410,cliffst99c_CHA_2014_2018
87,borreja99c,CHA,2019,2020,62,85,147,borreja99c_CHA_2019_2020
88,kerrre01c,CHI,1967,1968,62,101,163,kerrre01c_CHI_1967_1968
89,mottadi99c,CHI,1969,1976,356,300,656,mottadi99c_CHI_1969_1976
90,badgeed99c,CHI,1977,1978,84,80,164,badgeed99c_CHI_1977_1978
91,costela01c,CHI,1979,1979,20,36,56,costela01c_CHI_1979_1979
92,robersc99c,CHI,1979,1979,11,15,26,robersc99c_CHI_1979_1979
93,sloanje01c,CHI,1980,1982,94,121,215,sloanje01c_CHI_1980_1982
94,johnsph99c,CHI,1982,1982,0,1,1,johnsph99c_CHI_1982_1982
95,thornro01c,CHI,1982,1982,15,15,30,thornro01c_CHI_1982_1982
96,westhpa99c,CHI,1983,1983,28,54,82,westhpa99c_CHI_1983_1983
97,loughke01c,CHI,1984,1985,65,99,164,loughke01c_CHI_1984_1985
98,albecst99c,CHI,1986,1986,30,52,82,albecst99c_CHI_1986_1986
99,collido01c,CHI,1987,1989,137,109,246,collido01c_CHI_1987_1989
100,jacksph01c,CHI,1990,1998,545,193,738,jacksph01c_CHI_1990_1998
101,floydti99c,CHI,1999,2002,49,190,239,floydti99c_CHI_1999_2002
102,berrybi99c,CHI,2002,2002,0,2,2,berrybi99c_CHI_2002_2002
103,cartwbi01c,CHI,2002,2004,51,100,151,cartwbi01c_CHI_2002_2004
104,myerspe01c,CHI,2004,2004,0,2,2,myerspe01c_CHI_2004_2004
105,skilesc01c,CHI,2004,2008,165,172,337,skilesc01c_CHI_2004_2008
106,myerspe01c,CHI,2008,2008,0,1,1,myerspe01c_CHI_2008_2008
107,boylaji99c,CHI,2008,2008,24,32,56,boylaji99c_CHI_2008_2008
108,delnevi01c,CHI,2009,2010,82,82,164,delnevi01c_CHI_2009_2010
109,thiboto99c,CHI,2011,2015,255,139,394,thiboto99c_CHI_2011_2015
110,hoibefr99c,CHI,2016,2019,115,155,270,hoibefr99c_CHI_2016_2019
111,boyleji02c,CHI,2019,2020,39,84,123,boyleji02c_CHI_2019_2020
